Troubadour;Birthplace;Activity;From;To
Vasco Fernandez Praga de Sandin;43.162582,-7.836350;42.206017,-8.463789;1200;1240
Johan Soarez Somesso;42.079444,-8.355278;42.206017,-8.463789;1220;1230
Johan Soarez Somesso (alternative ID);43.25,-7.333333;40.24,-8.47;1215;1246
Johan Soarez Somesso (alternative ID);42.136781,-8.495883;;;1257
Pai Soarez de Taveirós;42.686679,-8.492129;40.24,-8.47;1225;1250
Johan Nunez Camanez;42.145014,-8.251545;42.145,-8.2516;1240;1260
Alfonso Lopez de Baian;41.177488,-8.050259;37.765406,-3.790256;1246;1280
Estevan Faian;42.5,-5.6;37.765406,-3.790256;1240;1260
Fernan Padron;42.738587,-8.659817;;1250;1275
Fernan Padron (alternative ID);42.738587,-8.659817;;1190;1230
Martin Moxa;42.866667,-8.55;41.652032,-4.728216;1270;1280
Martin Moxa (alternative ID);41.935556,-0.893443;41.652032,-4.728216;1270;1280
Johan Soarez de Pavia ;41.046389,-8.269722;41.650192,-0.883533;1170;1200
Martin Soarez;41.683333,-8.833333;37.765406,-3.790256;1230;1270
Airas Fernandes "Carpancho";42.866667,-8.55;42.65,-7.95;1190;1230
Nuno Fernandez Torneol;42.9,-8.56;37.765406,-3.790256;1230;1260
Fernan Garcia Esgaravunha;41.087778,-8.520278;41.087778,-8.520278;1220;1250
Roi Queimado;41.906111,-8.4425;37.765406,-3.790256;1240;1270
Vasco Gil;41.35,-8.245;;1235;1260
Johan Soarez Coelho;41.098333,-8.076944;38.570833,-7.909444;1235;1270
Roi Paez de Ribela;43.308654,-8.008970;41.652032,-4.728216;1240;1280
Johan Lopez de Ulhoa;42.794063,-7.833271;43.65,-7.583333;1238;1286
Fernan Gonçalvez de Seabra;41.832233,-7.006722;40.26,-8.46;1258;1275
Pero Gomez Barroso;41.823889,-7.79;41.652032,-4.728216;;
Johan Garcia de Guilhade;41.490833,-8.660556;41.087778,-8.520278;1240;1265
Johan Vasquis de Talaveira;39.961801,-4.830143;41.652032,-4.728216;1260;1295
Pero da Ponte;42.807989,-7.943570;37.765406,-3.790256;1235;1275
Martin Codax;42.807989,-7.943570;42.223078,-8.731278;1240;1275
Dom Dinis;38.716667,-9.133333;38.7167,-9.1334;1279;1235
Pai Gomez Charinho;42.433333,-8.65;39.856667,-4.024444;1248;1295
Fernan Velho;42.9,-7.8;41.652032,-4.728216;1280;1320
Bonifaci Calvo (Bonifaz de Genua);44.411111,8.932778;41.652032,-4.728216;1250;1265
Vasco Rodrigues de Calvelo;41.681944,-8.543333;41.681944,-8.543333;1250;1275
Roi Fernandiz de Santiago;42.866667,-8.55;41.652032,-4.728216;1240;1270
Vasco Martins de Resende;41.1,-7.95;38.7167,-9.1334;1290;1325
Fernand' Esquio;43.499886,-8.156906;43.65,-7.583333;1290;1315
Pedro de Portugal, Conde de Barcelos;38.7166,-9.1333;38.7167,-9.1334;1300;1350
Estevan da Guarda;40.538230,-7.266249;38.7167,-9.1334;1320;1350
Johan, jograr morador en León;42.57,-5.54;38.7167,-9.1334;1320;1340
Afonso Sanchez;41.4725,-7.846667;38.7167,-9.1334;1289;1328
Estevan Coelho;41.719828,-8.314163;38.7167,-9.1334;1300;1325
Alvaro Afonso;39.7138,-8.0734;;1440;1450
Diogo Gonçalvez de Montemor-o-Novo;39.713715,-8.073386;38.558734,-7.910463;1450;1480
Fernand' Eanes;39.71371,-8.07338;39.7138,-8.0734;1450;1480
Garcia Mendiz d' Eixo;40.631709,-8.570415;40.24,-8.47;1190;1239
Osoir' Anes;42.288255,-8.143495;42.063,-7.71765;1180;1220
Fernan Paez de Tamalancos;42.425060,-7.903228;42.063,-7.71765;1220;1240
Nuno (Monio) Fernandez de Mirapeixe;42.738587,-8.659817;43.65,-7.583333;1211;1243
Bernal de Bonaval;42.74,-8.66;41.087778,-8.520278;1230;1260
Afonso Soarez Sarraça;42.466667,-7.966667;42.538597,-7.950980;1225;1250
Pero Velho de Taveirós;42.7,-8.5;43.65,-7.583333;1225;1250
Roi Gomez de Briteiros;41.5,-8.42;42.600636,-5.570956;1225;1250
Pero Garcia d' Ambroa;43.133772,-8.604003;43.65,-7.583333;1228;1260
Johan Airas;42.9,-8.56;41.652032,-4.728216;1270;1295
Alfonso X;39.9,-4.1;41.652032,-4.728216;1242;1284
Fernan Soarez de Quinhones;42.552194,-5.826969;41.652032,-4.728216;1250 ;1275
Pero Goterrez;42.7,-5.57;41.652032,-4.728216;1245 ;1275
Caldeiron;42,-0.9;39.856667,-4.024444;1275;1300
Picandon;44.838611,-0.578333;37.765406,-3.790256;1230;1260
Lourenzo;39.8,-8.1;40.26,-8.46;1250;1275
Arnaldo;43.6045,1.444;43.526304,5.445429;1220;1260
Afonso Fernandez Cebolhilha;37.377222,-5.986944;39.856667,-4.024444;1275;1300
Alfonso XI;40.965,-5.663889;41.7,-4.8;1325;1350
Gomez Garcia;39.860365,-4.024815;39.856667,-4.024444;1275;1286
