Nuno Rodriguez de Candarei;gl;2;Ferdinand III;royal
Nuno Rodriguez de Candarei;gl;2;Alfonso X;royal
Nuno Rodriguez de Candarei;gl;2;Sancho IV;royal
Nuno Rodriguez de Candarei;gl;2;Rodrigo Gómez;noble
Vasco Fernandez Praga de Sandin;gl;2;The Soverosas;noble
Johan Soarez Somesso (alternative ID);pt;2;The Soverosas;noble
Johan Soarez Somesso ;gl;2;Sancho I;royal
Johan Soarez Somesso ;gl;2;Martim Sanches;noble
Johan Soarez Somesso (alternative ID)
                    ;gl;2;Unknown location;unknown
Pai Soarez de Taveirós;gl;2;Sancho I;royal
Pai Soarez de Taveirós;gl;2;Rodrigo Gómez;noble
Pai Soarez de Taveirós;gl;2;Ferdinand III;royal
Johan Nunez Camanez;gl;3;Unknown location;unknown
Alfonso Lopez de Baian;pt;3;Ferdinand III;royal
Alfonso Lopez de Baian;pt;3;The Sousas;noble
Estevan Faian;cas;3;Ferdinand III;royal
Estevan Faian;cas;3;Alfonso X;royal
Fernan Padron;gl;3;Unknown location;unknown
Fernan Padron (alternative ID)
                    ;gl;1;Unknown location;unknown
Martin Moxa;gl;3;Alfonso X;royal
Martin Moxa (alternative ID)
                    ;arag;3;Alfonso X;royal
Johan Soarez de Pavia ;pt;1;Alfonso II;royal
Martin Soarez;pt;3;Ferdinand III;royal
Airas Fernandes "Carpancho";gl;1;Múnio de Rodeiro;noble
Nuno Fernandez Torneol;gl;3;Ferdinand III;royal
Fernan Garcia Esgaravunha;pt;2;The Sousas;noble
Fernan Garcia Esgaravunha;pt;2;Ferdinand III;royal
Fernan Garcia Esgaravunha;pt;2;Afonso III;royal
Roi Queimado;pt;3;Ferdinand III;royal
Roi Queimado;pt;3;Alfonso X;royal
Vasco Gil;pt;3;The Soverosas;noble
Vasco Gil;pt;3;Sancho II;royal
Vasco Gil;pt;3;Ferdinand III;royal
Johan Soarez Coelho;pt;3;Fernado de la Serpa;noble
Johan Soarez Coelho;pt;3;Raimon Berenguer IV;noble
Johan Soarez Coelho;pt;3;Ferdinand III;royal
Johan Soarez Coelho;pt;3;Afonso III;royal
Roi Paez de Ribela;gl;3;Alfonso X;royal
Johan Lopez de Ulhoa;gl;3;Rodrigo Gómez;noble
Fernan Gonçalvez de Seabra;pt;3;Afonso III;royal
Pero Gomez Barroso;pt;3;Alfonso X;royal
Johan Garcia de Guilhade;pt;3;The Sousas;noble
Johan Garcia de Guilhade;pt;3;Ferdinand III;royal
Johan Garcia de Guilhade;pt;3;Alfonso X;royal
Johan Garcia de Guilhade;pt;3;Afonso III;royal
Johan Vasquis de Talaveira;cas;3;Alfonso X;royal
Johan Vasquis de Talaveira;cas;3;Sancho IV;royal
Pero da Ponte;gl;3;Ferdinand III;royal
Pero da Ponte;gl;3;Alfonso X;royal
Pero da Ponte;gl;3;Lope Díaz de Haro;noble
Pero da Ponte;gl;3;Telo Afonso de Meneses;noble
Martin Codax;gl;3;Vigo;unknown
Dom Dinis;pt;3;D. Dinis;royal
Pai Gomez Charinho;gl;3;Sancho IV;royal
Fernan Velho;gl;3;Alfonso X;royal
Bonifaci Calvo (Bonifaz de Genua)
                    ;it;3;Alfonso X;royal
Vasco Rodrigues de Calvelo;pt;3;Calvelo;noble
Roi Fernandiz de Santiago;gl;3;Alfonso X;royal
Vasco Martins de Resende;pt;4;D. Dinis;royal
Vasco Martins de Resende;pt;4;Afonso IV;royal
Fernand' Esquio;gl;3;Rodrigo Gómez;noble
Pedro de Portugal, Conde de Barcelos;pt;4;D. Dinis;royal
Pedro de Portugal, Conde de Barcelos;pt;4;Alfonso XI;royal
Pedro de Portugal, Conde de Barcelos;pt;4;D. Dinis;royal
Pedro de Portugal, Conde de Barcelos;pt;4;Count of Barcelos;noble
Estevan da Guarda;pt;4;D. Dinis;royal
Estevan da Guarda;pt;4;Afonso IV;royal
Johan, jograr morador en León;leo;4;D. Dinis;royal
Johan, jograr morador en León;leo;4;Count of Barcelos;noble
Afonso Sanchez;pt;4;D. Dinis;royal
Afonso Sanchez;pt;4;Afonso Sanchez;noble
Estevan Coelho;pt;4;D. Dinis;royal
Alvaro Afonso;pt;5;Infante Pedro;noble
Diogo Gonçalvez de Montemor-o-Novo;pt;5;Évora;noble
Fernand' Eanes;pt;5;Unknown location;unknown
Garcia Mendiz d' Eixo;pt;1;Sancho I;royal
Garcia Mendiz d' Eixo;pt;1;Alfonso IX;royal
Garcia Mendiz d' Eixo;pt;1;Alfonso II;royal
Garcia Mendiz d' Eixo;pt;1;The Sousas;noble
Osoir' Anes;gl;1;The Trabas;noble
Fernan Paez de Tamalancos;gl;2;The Trabas;noble
Nuno (Monio) Fernandez de Mirapeixe;gl;2;Rodrigo Gómez;noble
Bernal de Bonaval;gl;2;The Sousas;noble
Afonso Soarez Sarraça;gl;2;Oseira;noble
Pero Velho de Taveirós;gl;2;Rodrigo Gómez;noble
Pero Velho de Taveirós;gl;2;Sancho I;royal
Roi Gomez de Briteiros;pt;2;Alfonso IX;royal
Roi Gomez de Briteiros;pt;2;Afonso III;royal
Pero Garcia d' Ambroa;gl;2;Rodrigo Gómez;noble
Pero Garcia d' Ambroa;gl;2;Ferdinand III;royal
Johan Airas;gl;3;Alfonso X;royal
Johan Airas;gl;3;Sancho IV;royal
Alfonso X;cas;3;Alfonso X;royal
Fernan Soarez de Quinhones;leo;3;Alfonso X;royal
Fernan Soarez de Quinhones;leo;3;Sancho IV;royal
Pero Goterrez;leo;3;Alfonso X;royal
Caldeiron;arag;3;Sancho IV;royal
Caldeiron;arag;3;D. Dinis;royal
Picandon;occ;3;Ferdinand III;royal
Picandon;occ;3;Raimon Berenguer IV;noble
Lourenzo;pt;3;Afonso III;royal
Lourenzo;pt;3;Alfonso X;royal
Arnaldo;occ;3;Raimon Berenguer IV;noble
Arnaldo;occ;3;Alfonso X;royal
Afonso Fernandez Cebolhilha;sev;3;Sancho IV;royal
Alfonso XI;cas;4;Alfonso XI;royal
Gomez Garcia;cas;3;Sancho IV;royal
